Bookmark,Frame#,Data Rate (Mb/s),Duration,Freq,Channel,Antenna,Version,Bad FCS,Frame Size,Delta,Timestamp,
="",10,1.0,2208 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,337,="",="2/5/2026 6:47:49.093120215 AM",
="",11,1.0,2016 탎,2462 MHz,11,-79 dBm,Wi-Fi 1 (802.11b),False,313,="",="2/5/2026 6:47:49.097485925 AM",
="",12,6.0,434 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),False,388,="",="2/5/2026 6:47:49.105028495 AM",
="",14,11.0,415 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,392,="",="2/5/2026 6:47:49.108575940 AM",
="",15,6.0,402 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,364,="",="2/5/2026 6:47:49.112525060 AM",
="",16,11.0,431 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,414,="",="2/5/2026 6:47:49.120158440 AM",
="",17,130.0,49 탎,2462 MHz,11,-85 dBm,Wi-Fi 4 (802.11n),True,229,="",="2/5/2026 6:47:49.120644825 AM",
="",18,130.0,50 탎,2462 MHz,11,-84 dBm,Wi-Fi 4 (802.11n),True,249,="",="2/5/2026 6:47:49.120757715 AM",
="",19,24.0,37 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/5/2026 6:47:49.120901835 AM",
="",20,130.0,50 탎,2462 MHz,11,-85 dBm,Wi-Fi 4 (802.11n),True,249,="",="2/5/2026 6:47:49.120986300 AM",
="",21,78.0,56 탎,2462 MHz,11,-83 dBm,Wi-Fi 4 (802.11n),True,249,="",="2/5/2026 6:47:49.121224125 AM",
="",22,1.0,2160 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,331,="",="2/5/2026 6:47:49.125523100 AM",
="",23,6.0,370 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/5/2026 6:47:49.129564530 AM",
