Bookmark,Frame#,Data Rate (Mb/s),Duration,Freq,Channel,Antenna,Version,Bad FCS,Frame Size,Delta,Timestamp,
="",9,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.774349520 PM",
="",10,6.0,370 탎,2462 MHz,11,-79 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/3/2026 4:52:05.775199290 PM",
="",11,6.0,370 탎,2462 MHz,11,-79 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/3/2026 4:52:05.778881200 PM",
="",12,1.0,2696 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,398,="",="2/3/2026 4:52:05.779285565 PM",
="",13,1.0,1608 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,262,="",="2/3/2026 4:52:05.782069595 PM",
="",14,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.785997675 PM",
="",15,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.786142920 PM",
="",16,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.789983730 PM",
="",17,6.0,374 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,343,="",="2/3/2026 4:52:05.793894185 PM",
="",18,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.798017870 PM",
="",19,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.799273535 PM",
="",20,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.799523465 PM",
="",21,24.0,41 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.799687005 PM",
="",25,1.0,3768 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,532,="",="2/3/2026 4:52:05.807418035 PM",
="",26,1.0,856 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,168,="",="2/3/2026 4:52:05.813913300 PM",
="",27,1.0,3768 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,532,="",="2/3/2026 4:52:05.818838940 PM",
="",29,1.0,3768 탎,2462 MHz,11,-84 dBm,Wi-Fi 1 (802.11b),False,532,="",="2/3/2026 4:52:05.823287055 PM",
="",32,6.0,483 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),True,425,="",="2/3/2026 4:52:05.827097020 PM",
="",33,6.0,483 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),True,425,="",="2/3/2026 4:52:05.827599975 PM",
="",34,6.0,483 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),True,425,="",="2/3/2026 4:52:05.828118875 PM",
="",35,6.0,57 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.830035935 PM",
="",36,6.0,57 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.831093205 PM",
="",37,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.831179980 PM",
="",38,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.831301345 PM",
="",39,24.0,41 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.831512995 PM",
="",40,72.2,78 탎,2462 MHz,11,-89 dBm,Wi-Fi 4 (802.11n),True,229,="",="2/3/2026 4:52:05.835219075 PM",
="",41,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.839465785 PM",
="",42,24.0,41 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.839540095 PM",
="",43,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.839665020 PM",
="",44,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.840320820 PM",
="",45,6.0,57 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.841449040 PM",
="",46,1.0,304 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/3/2026 4:52:05.842926580 PM",
="",47,6.0,57 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.844152270 PM",
="",48,6.0,421 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,378,="",="2/3/2026 4:52:05.847511115 PM",
="",49,6.0,57 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.848019800 PM",
="",50,1.0,1624 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,264,="",="2/3/2026 4:52:05.848676535 PM",
="",51,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.850806580 PM",
="",52,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.850872410 PM",
="",53,6.0,426 탎,2462 MHz,11,-78 dBm,Wi-Fi 3 (802.11g),False,382,="",="2/3/2026 4:52:05.853024450 PM",
="",54,11.0,419 탎,2462 MHz,11,-84 dBm,Wi-Fi 1 (802.11b),True,397,="",="2/3/2026 4:52:05.855639445 PM",
="",55,6.0,367 탎,2462 MHz,11,-80 dBm,Wi-Fi 3 (802.11g),False,338,="",="2/3/2026 4:52:05.864902930 PM",
="",56,6.0,402 탎,2462 MHz,11,-79 dBm,Wi-Fi 3 (802.11g),False,364,="",="2/3/2026 4:52:05.865270760 PM",
="",57,6.0,57 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/3/2026 4:52:05.865673260 PM",
="",58,24.0,41 탎,2462 MHz,11,-83 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.865730430 PM",
="",59,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.865771595 PM",
="",60,24.0,41 탎,2462 MHz,11,-83 dBm,Wi-Fi 3 (802.11g),True,117,="",="2/3/2026 4:52:05.865812760 PM",
="",61,6.0,3062 탎,2462 MHz,11,-86 dBm,Wi-Fi 3 (802.11g),True,2359,="",="2/3/2026 4:52:05.863137915 PM",
="",62,24.0,41 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.874044620 PM",
="",63,6.0,361 탎,2462 MHz,11,-79 dBm,Wi-Fi 3 (802.11g),False,333,="",="2/3/2026 4:52:05.874085785 PM",
="",64,6.0,370 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/3/2026 4:52:05.874446950 PM",
="",65,12.0,51 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.874817450 PM",
="",66,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.874869285 PM",
="",67,24.0,41 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/3/2026 4:52:05.874910450 PM",
="",68,6.0,361 탎,2462 MHz,11,-77 dBm,Wi-Fi 3 (802.11g),False,333,="",="2/3/2026 4:52:05.874951620 PM",
="",69,1.0,3248 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,467,="",="2/3/2026 4:52:05.875895630 PM",
="",70,1.0,304 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/3/2026 4:52:05.879144130 PM",
