Bookmark,Frame#,Data Rate (Mb/s),Duration,Freq,Channel,Antenna,Version,Bad FCS,Frame Size,Delta,Timestamp,
="",4,1.0,2024 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,314,="",="2/4/2026 4:55:04.593795900 PM",
="",8,1.0,2568 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,382,="",="2/4/2026 4:55:04.601818775 PM",
="",9,1.0,1152 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,205,="",="2/4/2026 4:55:04.626921775 PM",
="",10,1.0,1152 탎,2462 MHz,11,-78 dBm,Wi-Fi 1 (802.11b),False,205,="",="2/4/2026 4:55:04.647157095 PM",
="",11,1.0,2744 탎,2462 MHz,11,-75 dBm,Wi-Fi 1 (802.11b),False,404,="",="2/4/2026 4:55:04.648309595 PM",
="",12,1.0,2096 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 4:55:04.653563115 PM",
="",13,11.0,441 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,427,="",="2/4/2026 4:55:04.657912630 PM",
="",14,6.0,402 탎,2462 MHz,11,-83 dBm,Wi-Fi 3 (802.11g),False,364,="",="2/4/2026 4:55:04.659000955 PM",
="",15,11.0,419 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,397,="",="2/4/2026 4:55:04.659459920 PM",
="",16,1.0,352 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,105,="",="2/4/2026 4:55:04.662148670 PM",
="",23,6.0,370 탎,2462 MHz,11,-83 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/4/2026 4:55:04.668483790 PM",
="",24,1.0,2032 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,315,="",="2/4/2026 4:55:04.670754305 PM",
="",25,6.0,370 탎,2462 MHz,11,-82 dBm,Wi-Fi 3 (802.11g),False,340,="",="2/4/2026 4:55:04.675378655 PM",
="",26,1.0,3056 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,443,="",="2/4/2026 4:55:04.676651505 PM",
="",27,1.0,2248 탎,2462 MHz,11,-84 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/4/2026 4:55:04.690756265 PM",
="",28,1.0,2744 탎,2462 MHz,11,-76 dBm,Wi-Fi 1 (802.11b),False,404,="",="2/4/2026 4:55:04.749085555 PM",
="",29,1.0,2432 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,365,="",="2/4/2026 4:55:04.759410310 PM",
="",30,11.0,441 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,427,="",="2/4/2026 4:55:04.761842810 PM",
="",31,11.0,439 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,424,="",="2/4/2026 4:55:04.762284035 PM",
="",32,11.0,419 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,397,="",="2/4/2026 4:55:04.762723080 PM",
="",36,1.0,2096 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 4:55:04.773868135 PM",
="",37,6.0,402 탎,2462 MHz,11,-85 dBm,Wi-Fi 3 (802.11g),True,364,="",="2/4/2026 4:55:04.775964635 PM",
="",38,1.0,2248 탎,2462 MHz,11,-81 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/4/2026 4:55:04.781245470 PM",
="",39,1.0,2104 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,324,="",="2/4/2026 4:55:04.786121875 PM",
="",40,1.0,2248 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),True,342,="",="2/4/2026 4:55:04.793589240 PM",
="",41,1.0,2696 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,398,="",="2/4/2026 4:55:04.802215085 PM",
="",42,1.0,976 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,183,="",="2/4/2026 4:55:04.823951155 PM",
="",43,1.0,2464 탎,2462 MHz,11,-91 dBm,Wi-Fi 1 (802.11b),False,369,="",="2/4/2026 4:55:04.858936065 PM",
="",44,1.0,2432 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,365,="",="2/4/2026 4:55:04.861400565 PM",
="",51,1.0,2296 탎,2462 MHz,11,-80 dBm,Wi-Fi 1 (802.11b),False,348,="",="2/4/2026 4:55:04.885609635 PM",
="",52,1.0,2104 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,324,="",="2/4/2026 4:55:04.888524000 PM",
="",53,1.0,1216 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,213,="",="2/4/2026 4:55:04.896023545 PM",
="",54,1.0,928 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,177,="",="2/4/2026 4:55:04.897240045 PM",
="",55,11.0,207 탎,2462 MHz,11,-90 dBm,Wi-Fi 1 (802.11b),True,105,="",="2/4/2026 4:55:04.909977345 PM",
="",56,1.0,1624 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,264,="",="2/4/2026 4:55:04.910184390 PM",
="",57,1.0,2696 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,398,="",="2/4/2026 4:55:04.911808890 PM",
="",58,1.0,384 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,109,="",="2/4/2026 4:55:04.943142080 PM",
="",59,1.0,384 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,109,="",="2/4/2026 4:55:04.943526580 PM",
="",60,1.0,2744 탎,2462 MHz,11,-77 dBm,Wi-Fi 1 (802.11b),False,404,="",="2/4/2026 4:55:04.955498920 PM",
="",64,1.0,2096 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 4:55:04.972558970 PM",
="",65,1.0,2032 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,315,="",="2/4/2026 4:55:04.977833570 PM",
="",69,6.0,337 탎,2462 MHz,11,-88 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/4/2026 4:55:04.995650310 PM",
="",70,6.0,373 탎,2462 MHz,11,-87 dBm,Wi-Fi 3 (802.11g),False,342,="",="2/4/2026 4:55:04.995987475 PM",
="",71,1.0,2024 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,314,="",="2/4/2026 4:55:05.007257380 PM",
="",72,6.0,361 탎,2462 MHz,11,-83 dBm,Wi-Fi 3 (802.11g),False,333,="",="2/4/2026 4:55:05.009281880 PM",
="",73,1.0,2696 탎,2462 MHz,11,-83 dBm,Wi-Fi 1 (802.11b),False,398,="",="2/4/2026 4:55:05.009643045 PM",
="",78,1.0,416 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/4/2026 4:55:05.058092570 PM",
="",79,1.0,2744 탎,2462 MHz,11,-77 dBm,Wi-Fi 1 (802.11b),False,404,="",="2/4/2026 4:55:05.058509070 PM",
="",80,1.0,2392 탎,2462 MHz,11,-84 dBm,Wi-Fi 1 (802.11b),True,360,="",="2/4/2026 4:55:05.061253570 PM",
="",81,1.0,2096 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 4:55:05.063646070 PM",
="",82,11.0,439 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),True,424,="",="2/4/2026 4:55:05.068318925 PM",
="",83,11.0,419 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,397,="",="2/4/2026 4:55:05.069110235 PM",
="",84,1.0,2432 탎,2462 MHz,11,-85 dBm,Wi-Fi 1 (802.11b),False,365,="",="2/4/2026 4:55:05.071885580 PM",
="",85,1.0,2096 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 4:55:05.079008800 PM",
="",86,1.0,2248 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,342,="",="2/4/2026 4:55:05.085088755 PM",
="",89,6.0,337 탎,2462 MHz,11,-84 dBm,Wi-Fi 3 (802.11g),False,315,="",="2/4/2026 4:55:05.095991300 PM",
="",90,1.0,1624 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,264,="",="2/4/2026 4:55:05.111204265 PM",
="",91,11.0,282 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,209,="",="2/4/2026 4:55:05.125587415 PM",
="",92,24.0,35 탎,2462 MHz,11,-88 dBm,Wi-Fi 3 (802.11g),True,99,="",="2/4/2026 4:55:05.135742120 PM",
="",96,1.0,3232 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),False,465,="",="2/4/2026 4:55:05.151873870 PM",
="",97,1.0,304 탎,2462 MHz,11,-87 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/4/2026 4:55:05.155106370 PM",
