Bookmark,Frame#,Source Port,Destination Port,Length,Checksum,Frame Size,Delta,Timestamp,
="",4,,,,,314,="",="2/4/2026 4:55:04.593795900 PM",
="",13,,,,,427,="",="2/4/2026 4:55:04.657912630 PM",
="",15,,,,,397,="",="2/4/2026 4:55:04.659459920 PM",
="",16,,,,,105,="",="2/4/2026 4:55:04.662148670 PM",
="",30,,,,,427,="",="2/4/2026 4:55:04.761842810 PM",
="",31,,,,,424,="",="2/4/2026 4:55:04.762284035 PM",
="",32,,,,,397,="",="2/4/2026 4:55:04.762723080 PM",
="",37,,,,,364,="",="2/4/2026 4:55:04.775964635 PM",
="",40,,,,,342,="",="2/4/2026 4:55:04.793589240 PM",
="",55,,,,,105,="",="2/4/2026 4:55:04.909977345 PM",
="",78,,,,,113,="",="2/4/2026 4:55:05.058092570 PM",
="",80,,,,,360,="",="2/4/2026 4:55:05.061253570 PM",
="",82,,,,,424,="",="2/4/2026 4:55:05.068318925 PM",
="",91,,,,,209,="",="2/4/2026 4:55:05.125587415 PM",
="",92,,,,,99,="",="2/4/2026 4:55:05.135742120 PM",
="",98,,,,,113,="",="2/4/2026 4:55:05.157154010 PM",
="",102,,,,,424,="",="2/4/2026 4:55:05.170702865 PM",
="",106,,,,,340,="",="2/4/2026 4:55:05.187352495 PM",
="",119,,,,,113,="",="2/4/2026 4:55:05.259553950 PM",
="",121,,,,,427,="",="2/4/2026 4:55:05.272314650 PM",
="",122,,,,,424,="",="2/4/2026 4:55:05.273136020 PM",
="",123,,,,,397,="",="2/4/2026 4:55:05.273917650 PM",
="",145,,,,,323,="",="2/4/2026 4:55:05.377413840 PM",
="",162,,,,,99,="",="2/4/2026 4:55:05.434708000 PM",
="",168,,,,,427,="",="2/4/2026 4:55:05.477152130 PM",
="",169,,,,,424,="",="2/4/2026 4:55:05.477889015 PM",
="",170,,,,,397,="",="2/4/2026 4:55:05.478651445 PM",
="",171,,,,,229,="",="2/4/2026 4:55:05.479071305 PM",
="",201,,,,,427,="",="2/4/2026 4:55:05.579520555 PM",
="",202,,,,,229,="",="2/4/2026 4:55:05.580320230 PM",
="",203,,,,,397,="",="2/4/2026 4:55:05.581078660 PM",
="",225,,,,,99,="",="2/4/2026 4:55:05.659834545 PM",
="",226,,,,,533,="",="2/4/2026 4:55:05.669020225 PM",
="",229,,,,,388,="",="2/4/2026 4:55:05.689226095 PM",
="",247,,,,,424,="",="2/4/2026 4:55:05.785080560 PM",
="",248,,,,,365,="",="2/4/2026 4:55:05.788668030 PM",
