Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",10,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.578938930 AM",
="",11,,Mgmt,Reserved [7],2920  (Retransmitted packet),,fd:7f:a0:04:77:61  (DA),a7:09:24:de:b5:57  (SA),ff:8f:7a:62:9d:47  (BSSID),0,0,0,1,1,1,,235,="",="2/6/2026 6:48:14.579265165 AM",
="",12,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.579859895 AM",
="",13,,Ext,Reserved [10],,,,,,1,0,0,0,1,0,,235,="",="2/6/2026 6:48:14.580185905 AM",
="",14,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.580307025 AM",
="",15,,Data,QoS Data,167  (Retransmitted packet),From AP,3c:6d:81:2e:f2:6f  (DA),80:dd:7d:e8:8c:cd  (BSSID),a0:9d:7d:a8:84:4f  (SA),0,1,0,1,0,1,,229,="",="2/6/2026 6:48:14.580633160 AM",
="",16,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.580894960 AM",
="",17,,Data,QoS Data,7  (Retransmitted packet),From AP,Apple Inc. 3c:6d:89,Commscope 90:9d:7d,90:dd:7d:a8:e4:7f  (SA),0,1,0,1,0,1,,229,="",="2/6/2026 6:48:14.581218255 AM",
="",18,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.581362010 AM",
="",19,,Data,QoS Data,7  (Retransmitted packet),From AP,Apple Inc. 3c:6d:89,Commscope 90:9d:7d,Commscope 90:9d:7d,0,1,0,1,0,1,,229,="",="2/6/2026 6:48:14.581680855 AM",
="",20,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.581944145 AM",
="",21,,Data,QoS Data,7  (Retransmitted packet),From AP,Apple Inc. 3c:6d:89,Commscope 90:9d:7d,Commscope 90:9d:7d,0,1,0,1,0,1,,229,="",="2/6/2026 6:48:14.582265750 AM",
="",22,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.583788955 AM",
="",23,,Data,CF Poll,1398,To AP,87:02:68:e4:a0:93  (BSSID),4a:7e:40:e5:b4:df  (SA),41:ac:be:06:38:78  (DA),1,0,0,0,1,0,,229,="",="2/6/2026 6:48:14.584109015 AM",
="",24,,Mgmt,Beacon,1408,,ff:ff:ff:ff:ff:ff  (DA),ae:70:5d:03:a0:0f  (SA),ae:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/6/2026 6:48:14.585121110 AM",
="",25,,Mgmt,Beacon,1393,,ff:ff:ff:ff:ff:ff  (DA),b6:70:5d:03:a0:0f  (SA),b6:70:5d:03:a0:0f  (BSSID),0,0,0,0,0,0,,323,="",="2/6/2026 6:48:14.587244680 AM",
="",26,,Control,CTS,,,Commscope 90:9d:7d,,,0,0,0,0,0,0,,99,="",="2/6/2026 6:48:14.590867890 AM",
="",27,,Data,QoS Data,7  (Retransmitted packet),From AP,Apple Inc. 3c:6d:89,Commscope 90:9d:7d,Commscope 90:9d:7d,0,1,0,1,0,1,,229,="",="2/6/2026 6:48:14.591188175 AM",
="",28,,Mgmt,Beacon,1575,,ff:ff:ff:ff:ff:ff  (DA),b2:9d:7d:a8:84:4c  (SA),b2:9d:7d:a8:84:4c  (BSSID),0,0,0,0,0,0,,316,="",="2/6/2026 6:48:14.592691235 AM",
="",29,,Mgmt,Beacon,3202,,ff:ff:ff:ff:ff:ff  (DA),Google Inc. 70:3a:cb,Google Inc. 70:3a:cb,0,0,0,0,0,0,,337,="",="2/6/2026 6:48:14.599441805 AM",
="",30,,Mgmt,Beacon,2825,,ff:ff:ff:ff:ff:ff  (DA),eero inc. 30:34:22,eero inc. 30:34:22,0,0,0,0,0,0,,313,="",="2/6/2026 6:48:14.602087180 AM",
="",31,,Mgmt,Beacon,1808,,ff:ff:ff:ff:57:e9  (DA),eero inc. 30:34:22,eero inc. 30:34:22,0,0,0,0,0,0,,339,="",="2/6/2026 6:48:14.604103680 AM",
="",32,,Mgmt,Beacon,1564  (Retransmitted packet),,ff:ff:ff:ff:33:f9  (DA),eero inc. 30:34:22,eero inc. 30:34:22,0,1,1,1,0,1,,366,="",="2/6/2026 6:48:14.604478065 AM",
="",33,,Data,QoS Null (no data),738,To AP,Sercomm Corporation. 74:9d:79,DWnet Technologies(Suzhou) Corporation 78:b2:13,Sercomm Corporation. 74:9d:79,1,0,0,0,0,0,,115,="",="2/6/2026 6:48:14.605801945 AM",
="",34,,Mgmt,Beacon,2385,,ff:ff:ff:ff:ff:ff  (DA),3e:28:6d:af:4f:80  (SA),3e:28:6d:af:4f:80  (BSSID),0,0,0,0,0,0,,312,="",="2/6/2026 6:48:14.609585680 AM",
="",35,,Mgmt,Beacon,4033,,ff:ff:ff:ff:ff:ff  (DA),4a:4b:d4:68:c9:28  (SA),4a:4b:d4:68:c9:28  (BSSID),0,0,0,0,0,0,,388,="",="2/6/2026 6:48:14.615520175 AM",
