Bookmark,Frame#,Data Rate (Mb/s),Duration,Freq,Channel,Antenna,Version,Bad FCS,Frame Size,Delta,Timestamp,
="",7,1.0,2160 탎,2462 MHz,11,-60 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:06.806273860 AM",
="",12,1.0,2160 탎,2462 MHz,11,-64 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:06.908602740 AM",
="",13,6.0,529 탎,2462 MHz,11,-80 dBm,Wi-Fi 3 (802.11g),False,459,="",="2/4/2026 6:48:06.933972440 AM",
="",14,1.0,2016 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),True,313,="",="2/4/2026 6:48:06.951971530 AM",
="",17,1.0,2096 탎,2462 MHz,11,-77 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 6:48:06.962119030 AM",
="",22,1.0,2096 탎,2462 MHz,11,-75 dBm,Wi-Fi 1 (802.11b),False,323,="",="2/4/2026 6:48:07.050982685 AM",
="",26,1.0,2160 탎,2462 MHz,11,-64 dBm,Wi-Fi 1 (802.11b),False,331,="",="2/4/2026 6:48:07.113303720 AM",
="",30,24.0,35 탎,2462 MHz,11,-75 dBm,Wi-Fi 3 (802.11g),False,99,="",="2/4/2026 6:48:07.169358455 AM",
="",31,24.0,35 탎,2462 MHz,11,-76 dBm,Wi-Fi 3 (802.11g),False,99,="",="2/4/2026 6:48:07.169393620 AM",
="",32,24.0,35 탎,2462 MHz,11,-75 dBm,Wi-Fi 3 (802.11g),False,99,="",="2/4/2026 6:48:07.169620455 AM",
="",33,1.0,416 탎,2462 MHz,11,-86 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/4/2026 6:48:07.169494950 AM",
="",34,12.0,51 탎,2462 MHz,11,-74 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/4/2026 6:48:07.170373320 AM",
="",35,9.0,152 탎,2462 MHz,11,-74 dBm,Wi-Fi 3 (802.11g),False,222,="",="2/4/2026 6:48:07.184180150 AM",
="",36,6.0,57 탎,2462 MHz,11,-74 dBm,Wi-Fi 3 (802.11g),False,105,="",="2/4/2026 6:48:07.184332425 AM",
="",37,1.0,3264 탎,2462 MHz,11,-76 dBm,Wi-Fi 1 (802.11b),False,469,="",="2/4/2026 6:48:07.237278885 AM",
="",41,1.0,304 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/4/2026 6:48:07.249518700 AM",
="",45,11.0,415 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),True,392,="",="2/4/2026 6:48:07.302194445 AM",
="",46,1.0,2160 탎,2462 MHz,11,-68 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:07.317966740 AM",
="",56,1.0,2208 탎,2462 MHz,11,-89 dBm,Wi-Fi 1 (802.11b),False,337,="",="2/4/2026 6:48:07.414677440 AM",
="",57,1.0,2160 탎,2462 MHz,11,-65 dBm,Wi-Fi 1 (802.11b),False,331,="",="2/4/2026 6:48:07.420294625 AM",
="",59,6.0,434 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,388,="",="2/4/2026 6:48:07.447771530 AM",
="",70,1.0,2160 탎,2462 MHz,11,-63 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:07.624938885 AM",
="",71,2.0,304 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,113,="",="2/4/2026 6:48:07.667418325 AM",
="",72,2.0,248 탎,2462 MHz,11,-75 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/4/2026 6:48:07.667722825 AM",
="",76,11.0,252 탎,2462 MHz,11,-81 dBm,Wi-Fi 1 (802.11b),False,167,="",="2/4/2026 6:48:07.675724890 AM",
="",77,11.0,202 탎,2462 MHz,11,-75 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/4/2026 6:48:07.675997570 AM",
="",81,1.0,352 탎,2462 MHz,11,-75 dBm,Wi-Fi 1 (802.11b),True,105,="",="2/4/2026 6:48:07.775823860 AM",
="",82,6.0,673 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,567,="",="2/4/2026 6:48:07.779420550 AM",
="",83,6.0,673 탎,2462 MHz,11,-79 dBm,Wi-Fi 3 (802.11g),False,567,="",="2/4/2026 6:48:07.784704735 AM",
="",87,1.0,2160 탎,2462 MHz,11,-67 dBm,Wi-Fi 1 (802.11b),False,331,="",="2/4/2026 6:48:07.829625680 AM",
="",88,24.0,35 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,99,="",="2/4/2026 6:48:07.863188985 AM",
="",89,6.0,73 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/4/2026 6:48:07.863425665 AM",
="",90,24.0,35 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),True,99,="",="2/4/2026 6:48:07.872723225 AM",
="",91,6.0,73 탎,2462 MHz,11,-80 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/4/2026 6:48:07.872864715 AM",
="",92,6.0,73 탎,2462 MHz,11,-78 dBm,Wi-Fi 3 (802.11g),False,117,="",="2/4/2026 6:48:07.873020735 AM",
="",93,1.0,2016 탎,2462 MHz,11,-82 dBm,Wi-Fi 1 (802.11b),False,313,="",="2/4/2026 6:48:07.873602325 AM",
="",100,1.0,2160 탎,2462 MHz,11,-61 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:07.931934655 AM",
="",105,6.0,201 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,213,="",="2/4/2026 6:48:07.960638005 AM",
="",106,1.0,416 탎,2462 MHz,11,-76 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/4/2026 6:48:07.977984805 AM",
="",107,1.0,2160 탎,2462 MHz,11,-66 dBm,Wi-Fi 1 (802.11b),True,331,="",="2/4/2026 6:48:08.034268140 AM",
="",108,1.0,2160 탎,2462 MHz,11,-78 dBm,Wi-Fi 1 (802.11b),False,331,="",="2/4/2026 6:48:08.041379265 AM",
="",109,1.0,416 탎,2462 MHz,11,-76 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/4/2026 6:48:08.071328620 AM",
="",116,1.0,304 탎,2462 MHz,11,-70 dBm,Wi-Fi 1 (802.11b),False,99,="",="2/4/2026 6:48:08.104998725 AM",
="",121,1.0,416 탎,2462 MHz,11,-88 dBm,Wi-Fi 1 (802.11b),True,113,="",="2/4/2026 6:48:08.155593925 AM",
="",122,6.0,434 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,388,="",="2/4/2026 6:48:08.163349655 AM",
="",123,6.0,246 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,229,="",="2/4/2026 6:48:08.164026945 AM",
="",124,1.0,2424 탎,2462 MHz,11,-72 dBm,Wi-Fi 1 (802.11b),True,364,="",="2/4/2026 6:48:08.173892425 AM",
="",129,1.0,352 탎,2462 MHz,11,-71 dBm,Wi-Fi 1 (802.11b),True,105,="",="2/4/2026 6:48:08.187150770 AM",
="",130,24.0,35 탎,2462 MHz,11,-81 dBm,Wi-Fi 3 (802.11g),False,99,="",="2/4/2026 6:48:08.192280610 AM",
