Bookmark,Frame#,SSI,Type,Subtype,Seq #,Addresses,Receive Addr,Transmit Addr,Address 3,ToDS,FromDS,Frag,Retry,More,Protected,FCS,Frame Size,Delta,Timestamp,
="",26,,Mgmt,Beacon,376,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC ec:a8:1f,Vantiva USA LLC ec:a8:1f,0,0,0,0,0,0,,374,="",="2/3/2026 2:11:11.931174405 PM",
="",27,,Mgmt,Beacon,2271,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC 98:52:4a,Vantiva USA LLC 98:52:4a,0,0,0,0,0,0,,386,="",="2/3/2026 2:11:11.944411855 PM",
="",39,,Mgmt,Beacon,1082,,f9:ff:ff:77:fb:fd  (DA),59:64:da:17:60:c1  (SA),68:69:c1:ca:4a:c0  (BSSID),0,0,0,0,0,0,,427,="",="2/3/2026 2:11:11.997610550 PM",
="",40,,Mgmt,Reassn Req,3659  (Retransmitted packet),,ce:e4:d7:f0:90:3c  (DA),6e:49:92:17:c4:c0  (SA),6e:49:08:2b:c5:d1  (BSSID),1,1,0,1,1,1,,424,="",="2/3/2026 2:11:11.998417860 PM",
="",41,,Mgmt,Beacon,1594,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:17:c4:ae  (SA),3b:48:92:17:f4:db  (BSSID),0,0,0,0,0,0,,397,="",="2/3/2026 2:11:11.999229825 PM",
="",45,,Mgmt,Beacon,66,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,423,="",="2/3/2026 2:11:12.016588610 PM",
="",46,,Mgmt,Beacon,3481,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:15:50:80  (SA),6e:49:92:15:50:80  (BSSID),0,0,0,0,0,0,,420,="",="2/3/2026 2:11:12.017427175 PM",
="",47,,Mgmt,Beacon,479,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:15:50:80  (SA),56:49:92:15:50:80  (BSSID),0,0,0,0,0,0,,393,="",="2/3/2026 2:11:12.018204025 PM",
="",51,,Mgmt,Beacon,377,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC ec:a8:1f,Vantiva USA LLC ec:a8:1f,0,0,0,0,0,0,,374,="",="2/3/2026 2:11:12.033568105 PM",
="",52,,Mgmt,Beacon,2272,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC 98:52:4a,Vantiva USA LLC 98:52:4a,0,0,0,0,0,0,,386,="",="2/3/2026 2:11:12.046822995 PM",
="",58,,Control,ACK,,,Espressif Inc. 58:8c:81,,,0,0,0,0,0,0,,95,="",="2/3/2026 2:11:12.074279545 PM",
="",59,,Control,ACK,,,Espressif Inc. 58:8c:81,,,0,0,0,0,0,0,,95,="",="2/3/2026 2:11:12.076231100 PM",
="",73,,Control,CTS,,,NETGEAR 44:a5:6e,,,0,0,0,0,0,0,,95,="",="2/3/2026 2:11:12.092488375 PM",
="",80,,Mgmt,Disassn,3655  (Retransmitted packet),,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:17:c4:c0  (SA),6e:49:92:17:c4:c0  (BSSID),0,0,1,1,1,0,,424,="",="2/3/2026 2:11:12.105551855 PM",
="",81,,Data,CF Poll,3732,IBSS,ff:df:a5:97:ff:3f  (DA),b2:4d:92:17:c4:42  (SA),2f:34:9d:f4:04:0c  (BSSID),0,0,0,0,1,1,,229,="",="2/3/2026 2:11:12.105990900 PM",
="",84,,Mgmt,Beacon,67,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,423,="",="2/3/2026 2:11:12.119434060 PM",
="",85,,Mgmt,Beacon,3482,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:15:50:80  (SA),6e:49:92:15:50:80  (BSSID),0,0,0,0,0,0,,420,="",="2/3/2026 2:11:12.120236370 PM",
="",86,,Mgmt,Beacon,480,,ff:ff:ff:ff:ff:ff  (DA),56:49:92:15:50:80  (SA),56:49:92:15:50:80  (BSSID),0,0,0,0,0,0,,393,="",="2/3/2026 2:11:12.120996260 PM",
="",88,,Mgmt,Beacon,378,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC ec:a8:1f,Vantiva USA LLC ec:a8:1f,0,0,0,0,0,0,,374,="",="2/3/2026 2:11:12.135951110 PM",
="",89,,Mgmt,Beacon,2273,,ff:ff:ff:ff:ff:ff  (DA),Vantiva USA LLC 98:52:4a,Vantiva USA LLC 98:52:4a,0,0,0,0,0,0,,386,="",="2/3/2026 2:11:12.149202160 PM",
="",100,,Mgmt,Beacon,888,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,427,="",="2/3/2026 2:11:12.202660290 PM",
="",113,,Mgmt,Beacon,68,,ff:ff:ff:ff:ff:ff  (DA),Cisco Meraki 68:49:92,Cisco Meraki 68:49:92,0,0,0,0,0,0,,423,="",="2/3/2026 2:11:12.221391275 PM",
="",114,,Mgmt,Beacon,3483,,ff:ff:ff:ff:ff:ff  (DA),6e:49:92:15:50:80  (SA),6e:49:92:15:50:80  (BSSID),0,0,0,0,0,0,,420,="",="2/3/2026 2:11:12.222220865 PM",
